# Example aortic flow waveform
# Time,Flowrate
0.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000021e-02,5.000112931511131009e+00
2.000000000000000042e-02,5.001723327281765386e+00
2.999999999999999889e-02,5.015432436188340226e+00
4.000000000000000083e-02,5.096109016425458549e+00
5.000000000000000278e-02,5.438961568122612888e+00
5.999999999999999778e-02,6.505390574529918979e+00
7.000000000000000666e-02,8.924942745452460358e+00
8.000000000000000167e-02,1.283684146308169005e+01
8.999999999999999667e-02,1.703764406789990460e+01
1.000000000000000056e-01,1.926584774442730463e+01
1.100000000000000006e-01,1.806815956096976805e+01
1.199999999999999956e-01,1.426343546195048617e+01
1.300000000000000044e-01,1.008388117172446741e+01
1.400000000000000133e-01,7.160152246530596898e+00
1.499999999999999944e-01,5.710254736977341317e+00
1.600000000000000033e-01,5.180511416357760801e+00
1.700000000000000122e-01,3.021237437281458771e+00
1.799999999999999933e-01,3.003203619996071438e+00
1.900000000000000022e-01,3.000370086705246742e+00
2.000000000000000111e-01,3.000032503296674147e+00
2.099999999999999922e-01,3.000002143441661495e+00
2.200000000000000011e-01,5.000000172773605200e+00
2.300000000000000100e-01,5.000000005811085835e+00
2.399999999999999911e-01,5.000000000114696697e+00
2.500000000000000000e-01,5.000000000000000000e+00
2.600000000000000089e-01,4.999999999999914735e+00
2.700000000000000178e-01,4.999999999999996447e+00
2.800000000000000266e-01,5.000000000000000000e+00
2.899999999999999800e-01,5.000000000000000000e+00
2.999999999999999889e-01,5.000000000000000000e+00
3.099999999999999978e-01,5.000000000000000000e+00
3.200000000000000067e-01,5.000000000000000000e+00
3.300000000000000155e-01,5.000000000000000000e+00
3.400000000000000244e-01,5.000000000000000000e+00
3.500000000000000333e-01,5.000000000000000000e+00
3.599999999999999867e-01,5.000000000000000000e+00
3.699999999999999956e-01,5.000000000000000000e+00
3.800000000000000044e-01,5.000000000000000000e+00
3.900000000000000133e-01,5.000000000000000000e+00
4.000000000000000222e-01,5.000000000000000000e+00
4.100000000000000311e-01,5.000000000000000000e+00
4.199999999999999845e-01,5.000000000000000000e+00
4.299999999999999933e-01,5.000000000000000000e+00
4.400000000000000022e-01,5.000000000000000000e+00
4.500000000000000111e-01,5.000000000000000000e+00
4.600000000000000200e-01,5.000000000000000000e+00
4.700000000000000289e-01,5.000000000000000000e+00
4.799999999999999822e-01,5.000000000000000000e+00
4.899999999999999911e-01,5.000000000000000000e+00
5.000000000000000000e-01,5.000000000000000000e+00
